Gene	ORF 	Plate	Row	Column
RPS6B	YBR181C	1	8	5
BAP2	YBR068C	1	8	6
DTR1	YBR180W	1	8	7
TIP1	YBR067C	1	8	8
	YBR178W	1	8	9
NRG2	YBR066C	1	8	10
EHT1	YBR177C	1	8	11
ECM2	YBR065C	1	8	12
ECM31	YBR176W	1	8	13
	YBR064W	1	8	14
SWD3	YBR175W	1	8	15
	YBR063C	1	8	16
	YBR174C	1	8	17
	YBR062C	1	8	18
SMY2	YBR172C	1	8	19
TRM7	YBR061C	1	8	20
SEC66	YBR171W	1	8	21
AKL1	YBR059C	1	8	22
NPL4	YBR170C	1	8	23
HIS3	YOR202W	1	8	24
HIS3	YOR202W	1	9	1
	YAL066W	1	9	2
NUP170	YBL079W	1	9	3
	YAL065C	1	9	4
ATG8	YBL078C	1	9	5
	YAL064C-A	1	9	6
SSA3	YBL075C	1	9	7
GDH3	YAL062W	1	9	8
RPS8A	YBL072C	1	9	9
	YAL061W	1	9	10
	YBL071C	1	9	11
BDH1	YAL060W	1	9	12
	YBL070C	1	9	13
ECM1	YAL059W	1	9	14
AST1	YBL069W	1	9	15
CNE1	YAL058W	1	9	16
PRS4	YBL068W	1	9	17
	YAL058C-A	1	9	18
UBP13	YBL067C	1	9	19
GPB2	YAL056W	1	9	20
SEF1	YBL066C	1	9	21
PEX22	YAL055W	1	9	22
	YBL065W	1	9	23
HIS3	YOR202W	1	9	24
HIS3	YOR202W	1	10	1
	YBR090C	1	10	2
KTR4	YBR199W	1	10	3
MIS1	YBR084W	1	10	4
	YBR197C	1	10	5
RPL19A	YBR084C-A	1	10	6
MSI1	YBR195C	1	10	7
TEC1	YBR083W	1	10	8
SOY1	YBR194W	1	10	9
UBC4	YBR082C	1	10	10
RPS9B	YBR189W	1	10	11
SLM4	YBR077C	1	10	12
NTC20	YBR188C	1	10	13
ECM8	YBR076W	1	10	14
	YBR187W	1	10	15
	YBR075W	1	10	16
PCH2	YBR186W	1	10	17
	YBR074W	1	10	18
MBA1	YBR185C	1	10	19
RDH54	YBR073W	1	10	20
	YBR184W	1	10	21
HSP26	YBR072W	1	10	22
YPC1	YBR183W	1	10	23
HIS3	YOR202W	1	10	24
HIS3	YOR202W	1	11	1
UIP3	YAR027W	1	11	2
	YBL094C	1	11	3
	YAR023C	1	11	4
SCS22	YBL091C-A	1	11	5
PAU7	YAR020C	1	11	6
MAP2	YBL091C	1	11	7
KIN3	YAR018C	1	11	8
AVT5	YBL089W	1	11	9
ADE1	YAR015W	1	11	10
TEL1	YBL088C	1	11	11
BUD14	YAR014C	1	11	12
RPL23A	YBL087C	1	11	13
SWD1	YAR003W	1	11	14
	YBL086C	1	11	15
NUP60	YAR002W	1	11	16
BOI1	YBL085W	1	11	17
ERP1	YAR002C-A	1	11	18
	YBL083C	1	11	19
	YAL068C	1	11	20
RHK1	YBL082C	1	11	21
SEO1	YAL067C	1	11	22
	YBL081W	1	11	23
HIS3	YOR202W	1	11	24
HIS3	YOR202W	1	12	1
YMC2	YBR104W	1	12	2
NGR1	YBR212W	1	12	3
SIF2	YBR103W	1	12	4
ERV15	YBR210W	1	12	5
FES1	YBR101C	1	12	6
	YBR209W	1	12	7
	YBR100W	1	12	8
DUR1,2	YBR208C	1	12	9
	YBR099C	1	12	10
FTH1	YBR207W	1	12	11
MMS4	YBR098W	1	12	12
	YBR206W	1	12	13
RXT2	YBR095C	1	12	14
KTR3	YBR205W	1	12	15
	YBR094W	1	12	16
	YBR204C	1	12	17
PHO5	YBR093C	1	12	18
COS111	YBR203W	1	12	19
PHO3	YBR092C	1	12	20
DER1	YBR201W	1	12	21
	YBR090C-A	1	12	22
BEM1	YBR200W	1	12	23
HIS3	YOR202W	1	12	24
HIS3	YOR202W	1	13	1
	YAR047C	1	13	2
NTH2	YBR001C	1	13	3
OSH1	YAR044W	1	13	4
	YBL107C	1	13	5
	YAR043C	1	13	6
SRO77	YBL106C	1	13	7
SWH1	YAR042W	1	13	8
	YBL104C	1	13	9
	YAR040C	1	13	10
RTG3	YBL103C	1	13	11
	YAR037W	1	13	12
SFT2	YBL102W	1	13	13
YAT1	YAR035W	1	13	14
ECM21	YBL101C	1	13	15
PRM9	YAR031W	1	13	16
	YBL100C	1	13	17
	YAR030C	1	13	18
BNA4	YBL098W	1	13	19
	YAR029W	1	13	20
	YBL096C	1	13	21
	YAR028W	1	13	22
	YBL095W	1	13	23
HIS3	YOR202W	1	13	24
HIS3	YOR202W	1	14	1
GRS1	YBR121C	1	14	2
TDP1	YBR223C	1	14	3
MUD1	YBR119W	1	14	4
PCS60	YBR222C	1	14	5
	YBR116C	1	14	6
PDB1	YBR221C	1	14	7
LYS2	YBR115C	1	14	8
	YBR220C	1	14	9
RAD16	YBR114W	1	14	10
	YBR219C	1	14	11
	YBR113W	1	14	12
PYC2	YBR218C	1	14	13
YSA1	YBR111C	1	14	14
ATG12	YBR217W	1	14	15
	YBR108W	1	14	16
YBP1	YBR216C	1	14	17
IML3	YBR107C	1	14	18
HPC2	YBR215W	1	14	19
PHO88	YBR106W	1	14	20
SDS24	YBR214W	1	14	21
VID24	YBR105C	1	14	22
MET8	YBR213W	1	14	23
HIS3	YOR202W	1	14	24
HIS3	YOR202W	1	15	1
ACH1	YBL015W	1	15	2
	YBR016W	1	15	3
FMT1	YBL013W	1	15	4
MNN2	YBR015C	1	15	5
SCT1	YBL011W	1	15	6
	YBR014C	1	15	7
	YBL010C	1	15	8
	YBR013C	1	15	9
	YBL009W	1	15	10
	YBR012C	1	15	11
HIR1	YBL008W	1	15	12
HHT1	YBR010W	1	15	13
SLA1	YBL007C	1	15	14
HHF1	YBR009C	1	15	15
PDR3	YBL005W	1	15	16
FLR1	YBR008C	1	15	17
HTA2	YBL003C	1	15	18
DSF2	YBR007C	1	15	19
ECM15	YBL001C	1	15	20
UGA2	YBR006W	1	15	21
FLO1	YAR050W	1	15	22
RCR1	YBR005W	1	15	23
HIS3	YOR202W	1	15	24
HIS3	YOR202W	1	16	1
HIS3	YOR202W	1	16	2
HIS3	YOR202W	1	16	3
HIS3	YOR202W	1	16	4
HIS3	YOR202W	1	16	5
HIS3	YOR202W	1	16	6
HIS3	YOR202W	1	16	7
HIS3	YOR202W	1	16	8
HIS3	YOR202W	1	16	9
HIS3	YOR202W	1	16	10
HIS3	YOR202W	1	16	11
HIS3	YOR202W	1	16	12
HIS3	YOR202W	1	16	13
HIS3	YOR202W	1	16	14
HIS3	YOR202W	1	16	15
HIS3	YOR202W	1	16	16
HIS3	YOR202W	1	16	17
HIS3	YOR202W	1	16	18
HIS3	YOR202W	1	16	19
HIS3	YOR202W	1	16	20
HIS3	YOR202W	1	16	21
HIS3	YOR202W	1	16	22
HIS3	YOR202W	1	16	23
HIS3	YOR202W	1	16	24
HIS3	YOR202W	2	1	1
HIS3	YOR202W	2	1	2
HIS3	YOR202W	2	1	3
HIS3	YOR202W	2	1	4
HIS3	YOR202W	2	1	5
HIS3	YOR202W	2	1	6
HIS3	YOR202W	2	1	7
HIS3	YOR202W	2	1	8
HIS3	YOR202W	2	1	9
HIS3	YOR202W	2	1	10
HIS3	YOR202W	2	1	11
HIS3	YOR202W	2	1	12
HIS3	YOR202W	2	1	13
HIS3	YOR202W	2	1	14
HIS3	YOR202W	2	1	15
HIS3	YOR202W	2	1	16
HIS3	YOR202W	2	1	17
HIS3	YOR202W	2	1	18
HIS3	YOR202W	2	1	19
HIS3	YOR202W	2	1	20
HIS3	YOR202W	2	1	21
HIS3	YOR202W	2	1	22
HIS3	YOR202W	2	1	23
HIS3	YOR202W	2	1	24
HIS3	YOR202W	2	2	1
	YCR076C	2	2	2
RAM1	YDL090C	2	2	3
ERS1	YCR075C	2	2	4
	YDL089W	2	2	5
SOL2	YCR073W-A	2	2	6
ASM4	YDL088C	2	2	7
SSK22	YCR073C	2	2	8
	YDL086W	2	2	9
IMG2	YCR071C	2	2	10
NDE2	YDL085W	2	2	11
CPR4	YCR069W	2	2	12
RPS16B	YDL083C	2	2	13
ATG15	YCR068W	2	2	14
RPL13A	YDL082W	2	2	15
SED4	YCR067C	2	2	16
RPP1A	YDL081C	2	2	17
HCM1	YCR065W	2	2	18
THI3	YDL080C	2	2	19
BUD31	YCR063W	2	2	20
MRK1	YDL079C	2	2	21
	YCR062W	2	2	22
MDH3	YDL078C	2	2	23
HIS3	YOR202W	2	2	24
HIS3	YOR202W	2	3	1
	YBR235W	2	3	2
GFD2	YCL036W	2	3	3
PBP2	YBR233W	2	3	4
GRX1	YCL035C	2	3	5
	YBR232C	2	3	6
LSB5	YCL034W	2	3	7
SWC5	YBR231C	2	3	8
	YCL033C	2	3	9
	YBR230C	2	3	10
STE50	YCL032W	2	3	11
ROT2	YBR229C	2	3	12
HIS4	YCL030C	2	3	13
SLX1	YBR228W	2	3	14
BIK1	YCL029C	2	3	15
MCX1	YBR227C	2	3	16
RNQ1	YCL028W	2	3	17
	YBR226C	2	3	18
FUS1	YCL027W	2	3	19
	YBR225W	2	3	20
FRM2	YCL026C-A	2	3	21
	YBR224W	2	3	22
	YCL026C	2	3	23
HIS3	YOR202W	2	3	24
HIS3	YOR202W	2	4	1
FIG2	YCR089W	2	4	2
	YDL110C	2	4	3
ABP1	YCR088W	2	4	4
	YDL109C	2	4	5
	YCR087W	2	4	6
PHO2	YDL106C	2	4	7
	YCR087C-A	2	4	8
QRI7	YDL104C	2	4	9
CSM1	YCR086W	2	4	10
ARR4	YDL100C	2	4	11
	YCR085W	2	4	12
	YDL099W	2	4	13
TRX3	YCR083W	2	4	14
	YDL096C	2	4	15
AHC2	YCR082W	2	4	16
PMT1	YDL095W	2	4	17
SRB8	YCR081W	2	4	18
	YDL094C	2	4	19
	YCR079W	2	4	20
PMT5	YDL093W	2	4	21
PAT1	YCR077C	2	4	22
UBX3	YDL091C	2	4	23
HIS3	YOR202W	2	4	24
HIS3	YOR202W	2	5	1
	YBR250W	2	5	2
	YCL049C	2	5	3
ARO4	YBR249C	2	5	4
SPS22	YCL048W	2	5	5
HIS7	YBR248C	2	5	6
	YCL047C	2	5	7
	YBR246W	2	5	8
	YCL046W	2	5	9
ISW1	YBR245C	2	5	10
	YCL045C	2	5	11
GPX2	YBR244W	2	5	12
	YCL044C	2	5	13
	YBR242W	2	5	14
	YCL042W	2	5	15
	YBR241C	2	5	16
GLK1	YCL040W	2	5	17
THI2	YBR240C	2	5	18
GID7	YCL039W	2	5	19
	YBR239C	2	5	20
ATG22	YCL038C	2	5	21
	YBR238C	2	5	22
SRO9	YCL037C	2	5	23
HIS3	YOR202W	2	5	24
HIS3	YOR202W	2	6	1
ADH7	YCR105W	2	6	2
HNT1	YDL125C	2	6	3
	YCR102W-A	2	6	4
	YDL124W	2	6	5
	YCR102C	2	6	6
SNA4	YDL123W	2	6	7
	YCR101C	2	6	8
UBP1	YDL122W	2	6	9
	YCR100C	2	6	10
	YDL121C	2	6	11
	YCR099C	2	6	12
	YDL119C	2	6	13
GIT1	YCR098C	2	6	14
	YDL118W	2	6	15
	YCR095C	2	6	16
CYK3	YDL117W	2	6	17
MSH3	YCR092C	2	6	18
	YDL114W	2	6	19
KIN82	YCR091W	2	6	20
ATG20	YDL113C	2	6	21
	YCR090C	2	6	22
TRM3	YDL112W	2	6	23
HIS3	YOR202W	2	6	24
HIS3	YOR202W	2	7	1
FMP21	YBR269C	2	7	2
VBA3	YCL069W	2	7	3
REI1	YBR267W	2	7	4
CHA1	YCL064C	2	7	5
	YBR266C	2	7	6
VAC17	YCL063W	2	7	7
YPT10	YBR264C	2	7	8
	YCL062W	2	7	9
SHM1	YBR263W	2	7	10
MRC1	YCL061C	2	7	11
FMP51	YBR262C	2	7	12
	YCL060C	2	7	13
	YBR261C	2	7	14
PRD1	YCL057W	2	7	15
RGD1	YBR260C	2	7	16
	YCL056C	2	7	17
	YBR259W	2	7	18
KAR4	YCL055W	2	7	19
SHG1	YBR258C	2	7	20
LRE1	YCL051W	2	7	21
	YBR255W	2	7	22
APA1	YCL050C	2	7	23
HIS3	YOR202W	2	7	24
HIS3	YOR202W	2	8	1
RPN4	YDL020C	2	8	2
RDI1	YDL135C	2	8	3
OSH2	YDL019C	2	8	4
	YDL134C-A	2	8	5
ERP3	YDL018C	2	8	6
PPH21	YDL134C	2	8	7
HEX3	YDL013W	2	8	8
	YDL133W	2	8	9
	YDL012C	2	8	10
RPL41B	YDL133C-A	2	8	11
	YDL011C	2	8	12
LYS21	YDL131W	2	8	13
	YDL010W	2	8	14
STF1	YDL130W-A	2	8	15
PTC1	YDL006W	2	8	16
RPP1B	YDL130W	2	8	17
NHP10	YDL002C	2	8	18
	YDL129W	2	8	19
RMD1	YDL001W	2	8	20
VCX1	YDL128W	2	8	21
RDS1	YCR106W	2	8	22
PCL2	YDL127W	2	8	23
HIS3	YOR202W	2	8	24
HIS3	YOR202W	2	9	1
	YBR281C	2	9	2
ADP1	YCR011C	2	9	3
	YBR280C	2	9	4
ADY2	YCR010C	2	9	5
DPB3	YBR278W	2	9	6
RVS161	YCR009C	2	9	7
	YBR277C	2	9	8
SAT4	YCR008W	2	9	9
PPS1	YBR276C	2	9	10
	YCR007C	2	9	11
RIF1	YBR275C	2	9	12
	YCR006C	2	9	13
CHK1	YBR274W	2	9	14
